"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/3df989b4-92f4-495e-a72b-ccf50bc13ec6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","NeonSniperPanda","5040","135","65","37","1602392","1398095","351","false","false","English","NeonSniperPanda"
"https://static-cdn.jtvnw.net/jtv_user_pictures/de7588db-288b-4ed8-88ef-e83f1694040d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","klairelise","120990","825","233","146","372545","345174","13430","true","true","English","klairelise"
"https://static-cdn.jtvnw.net/jtv_user_pictures/08367395-86f6-48f6-8197-76e38179ce19-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","jessjessjessu","3272250","555","12801","5895","334977","165157","261392","false","false","English","jessjessjessu"
"https://static-cdn.jtvnw.net/jtv_user_pictures/82db33be-a407-46d8-b6b6-3e85825160b8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","TubboLIVE","68963790","2130","63230","32377","934471","159596","1227726","true","false","English","TubboLIVE"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8709b8c4-c486-4080-984d-b307cbcc2395-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","LouiKey","450","315","2","1","200557","157141","25","false","false","English","LouiKey"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cae3ca63-510d-4715-b4ce-059dcf938978-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","ElisabeteTV","3250260","3090","2054","1051","301993","152603","157644","false","false","English","ElisabeteTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a25cf7ba-4b2f-46ae-92d4-c42c69862415-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","xCry","2549790","975","3911","2615","756475","148597","66859","true","false","Spanish","xCry"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8c88950e-0e32-436d-bce5-d80be8d03799-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","Indiefoxx","23449620","2055","17509","11411","738426","143615","2682257","true","false","English","Indiefoxx"
"https://static-cdn.jtvnw.net/jtv_user_pictures/29dfbc21-c4a9-42ce-87a9-295ced3ea357-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","djscheme","94530","330","472","286","172734","135477","2378","true","false","English","djscheme"
"https://static-cdn.jtvnw.net/jtv_user_pictures/13052667-ea73-4cfd-9902-694da08e99ad-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","noah_zek","585","270","3","2","133351","132624","109","false","true","English","noah_zek"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3bc03c40-f139-4970-8549-322ad868303b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","Otto","60915","900","110","67","167187","129166","2772","true","false","English","Otto"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b28c3d68-100d-42df-bb9a-c01ff0f0455f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","12","drew_bills","207465","1065","406","194","155414","127110","8032","false","false","English","drew_bills"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8de4d844-586d-4be9-8570-04a0678fa99e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","13","RanbooLive","236614410","2865","149913","82587","2448959","125620","3045665","true","false","English","RanbooLive"
