"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/d10cb832-3bf4-4fe8-b8d7-973913426c5f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","601","phirq","4620","165","41","28","17181","16814","10","false","false","English","phirq"
"https://static-cdn.jtvnw.net/jtv_user_pictures/51dbc18a-4027-4cb0-9c19-874d14f26a0c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","602","JenniffyRL","27000","3000","27","9","4764","16793","353","false","true","English","JenniffyRL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8e55330e-2b89-447f-97a9-fd56f629d827-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","603","RaiN_DyNasty","176235","1725","178","102","42191","16764","5798","true","false","English","RaiN_DyNasty"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a9cb262d-a31d-42e4-a44b-e74e9a748d94-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","604","exoticgaming490","855","405","5","2","40879","16760","19","false","false","English","exoticgaming490"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3fc6cac9-7a92-49db-829c-a2a9a8d7acd2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","605","NeckoLol","12297555","2910","12934","4225","239118","16673","370456","true","false","Spanish","NeckoLol"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4be88adf-6f3d-4087-b6c5-41e441322594-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","606","parkolio78","315","165","2","1","16658","16657","9","false","false","English","parkolio78"
"https://static-cdn.jtvnw.net/jtv_user_pictures/94dae8df-d263-462f-851d-91e49c882a41-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","607","wrenchajz","5415","765","75","7","18581","16639","348","false","false","Czech","wrenchajz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/65ccf918-3efd-4342-b6ca-3958c21a691c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","608","explictzOnYT","270","180","2","1","17128","16623","55","false","true","English","explictzOnYT"
"https://static-cdn.jtvnw.net/jtv_user_pictures/80c82815-7b0e-4670-aee9-179e7a4e65f4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","609","sihat__","4575","1740","13","2","16603","16598","181","false","false","French","sihat__"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a895273c-6c37-4c78-b573-c347c0812536-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","610","daro041","3660","825","9","4","68544","16593","355","false","false","Polish","daro041"
"https://static-cdn.jtvnw.net/user-default-pictures-uv/75305d54-c7cc-40d1-bb9c-91fbe85943c7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","611","herniefremen","990","285","7","3","16610","16592","37","false","false","English","herniefremen"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ec783fd1-5540-4ae2-bb93-18ce87527f56-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","612","Grearuler","32655","1380","37","23","3680","16588","1632","false","false","Turkish","Grearuler"
"https://static-cdn.jtvnw.net/jtv_user_pictures/74f5d126-935d-4208-b273-684fbf5fe523-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","613","LifestylePerfecter","22230","1740","28","12","17319","16577","639","false","false","German","LifestylePerfecter"
"https://static-cdn.jtvnw.net/jtv_user_pictures/829ae718-0ab8-4fd4-b2d0-d5b63504f632-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","614","alewang_","343935","975","571","352","130438","16532","20939","true","false","Spanish","alewang_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/605d9614-f479-4554-8808-48e33cc27e51-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","615","nilojeda","3503400","900","8389","3892","436248","16497","219893","true","false","Spanish","nilojeda"
"https://static-cdn.jtvnw.net/jtv_user_pictures/00fa097b-1d94-4b13-a274-5290a73485a0-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","616","Ash_on_LoL","31661040","4095","15325","7731","640904","16480","656013","true","false","English","Ash_on_LoL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/54504433-9abd-4ea3-886f-5a467e62db22-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","617","Ryptrix","9840","705","24","13","9224","16447","1016","false","false","Turkish","Ryptrix"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e3c8d8e9-8e5d-4e18-b652-d3f3fe1123ed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","618","grubah","765","300","8","2","16577","16405","30","false","false","English","grubah"
"https://static-cdn.jtvnw.net/jtv_user_pictures/938d44b2-1576-4265-bd0e-c87a101d8794-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","619","loud_bak","25610865","1740","37126","14718","1245224","16396","205006","true","false","Portuguese","loud_bak"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2ffa674e-c93d-4677-bf4e-ea32b105eaaf-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","620","ZubatLEL","3650850","1215","4855","3004","147288","16392","53826","true","false","English","ZubatLEL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/68b442ad-2505-4b16-bc68-08e0eb6410e1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","621","EditorEnvy","2235","420","15","5","19947","16365","422","false","false","English","EditorEnvy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/852b713a-dd69-4a15-9edb-384b8edd3d2d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","622","Ramee","25564770","3555","29056","7191","245455","16345","616655","true","false","English","Ramee"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cdaaf2cd-dec6-4a99-bc2c-70c90a44191e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","623","TheNerdyIrishman","3150","1845","4","1","18009","16339","103","false","false","English","TheNerdyIrishman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ba43d1b9-e574-45ec-a73c-fd53857329ce-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","624","Ginoimul","7245","1290","19","5","18397","16325","528","false","false","Spanish","Ginoimul"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3ea58cce-a796-475a-8d79-739c9b5e6fca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","625","hypersduku","5325","1200","9","4","9704","16308","497","false","false","Romanian","hypersduku"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27519dd8-5c4c-4c41-a5f8-51ba7cb7a041-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","626","Zanax_10","414345","2025","588","204","34263","16264","111851","true","false","Spanish","Zanax_10"
"https://static-cdn.jtvnw.net/jtv_user_pictures/51a1b2d3-1ae8-47ce-87ee-e106afe72e8f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","627","zxcursed","10475400","2325","6550","4505","94446","16190","420712","true","false","Russian","zxcursed"
