"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio","Followers gained","Views gained","FPR","VPR",""
"Grand Theft Auto V","1","Grand Theft Auto V","3858308160","36281700","838606","7043","81802","382768","3599","106.34","4050979","63497073","6.6992103457114744","105.00677697020812","Grand Theft Auto V"
"Just Chatting","2","Just Chatting","3817617240","50377500","870817","8026","205830","378731","4997","75.78","5644892","99932398","6.723110912609796","119.02027452731875","Just Chatting"
"League of Legends","3","League of Legends","2038034640","51180600","529193","8333","117363","202185","5077","39.82","990206","44384031","1.1608375048358166","52.03225167348565","League of Legends"
"Fortnite","4","Fortnite","1233289680","77842680","300531","13805","232235","122350","7722","15.84","6741075","34456004","5.195922082847096","26.55818427628648","Fortnite"
"VALORANT","5","VALORANT","1208156400","47779380","307693","7835","133072","119856","4740","25.29","1060664","33469807","1.331951984307875","42.03044116520557","VALORANT"
"Call of Duty: Warzone","6","Call of Duty: Warzone","1181475060","48264840","278820","8705","100493","117209","4788","24.48","818764","15754868","1.0178390729151905","19.58552188301049","Call of Duty: Warzone"
"Minecraft","7","Minecraft","1073379300","43641660","341421","8305","154848","106486","4329","24.6","4028982","16635780","5.53917793227847","22.871421481217716","Minecraft"
"Counter-Strike: Global Offensive","8","Counter-Strike: Global Offensive","1036974120","20340180","362748","4016","62679","102874","2017","50.98","1310455","29275087","3.865614758571458","86.3564245744138","Counter-Strike: Global Offensive"
"Apex Legends","9","Apex Legends","709455180","52156980","120481","8110","126934","70382","5174","13.6","71790","12905807","0.08258530306010815","14.846496480432725","Apex Legends"
"Dota 2","10","Dota 2","635300280","9344040","210268","1559","14851","63025","926","67.99","32446","13970781","0.20834243004096728","89.70925424120615","Dota 2"
"Path of Exile","11","Path of Exile","503259480","6732780","256913","4075","9358","49926","667","74.75","30101","8476396","0.2682487768796842","75.53844919929064","Path of Exile"
"World of Warcraft","12","World of Warcraft","440227860","16903680","155795","4817","31743","43673","1676","26.04","70816","9819449","0.2513630168105407","34.85435952407996","World of Warcraft"
"Rocket League","13","Rocket League","384611100","19794780","153557","3937","92164","38155","1963","19.43","827928","6502857","2.509534331778378","19.71082376262833","Rocket League"
"FIFA 21","14","FIFA 21","378798360","11253840","169717","3162","37510","37579","1116","33.66","286697","6382396","1.5285289287923056","34.02783050052249","FIFA 21"
"Tom Clancy's Rainbow Six Siege","15","Tom Clancy's Rainbow Six Siege","356485380","15270720","120466","2912","50529","35365","1514","23.34","342848","5539702","1.347079901929968","21.7659756710882","Tom Clancy's Rainbow Six Siege"
"Music","16","Music","335582040","14091000","91269","2802","28393","33291","1397","23.82","273910","13483482","1.1663189269746648","57.4131658505429","Music"
"Hearthstone","17","Hearthstone","300683880","2781960","72637","463","6644","29829","275","108.08","29355","4737517","0.6331147823836432","102.17653021610663","Hearthstone"
"Dead by Daylight","18","Dead by Daylight","298503420","17355000","87892","2953","45505","29613","1721","17.2","128137","4311001","0.44299740708729474","14.904065687121866","Dead by Daylight"
"Slots","19","Slots","269985840","1670100","66258","268","2204","26784","165","161.66","492322","2729928","17.687156457697142","98.07537273217173","Slots"
"Escape from Tarkov","20","Escape from Tarkov","258580500","11640000","45327","1700","19059","25652","1154","22.21","-7786","4838003","-0.0401340206185567","24.93815979381443","Escape from Tarkov"
"Among Us","21","Among Us","252360540","3933540","319434","1197","21595","25035","390","64.16","343722","4338284","5.242941472566696","66.17373663417685","Among Us"
"Enlisted","22","Enlisted","250642620","3435000","202267","967","11760","24865","340","72.97","43763","5448906","0.7644192139737991","95.17739737991266","Enlisted"
"The Binding of Isaac: Repentance","23","The Binding of Isaac: Repentance","240813180","2849040","70537","552","8798","23890","282","84.52","34572","2600865","0.7280768258781906","54.7735026535254","The Binding of Isaac: Repentance"
"Chess","24","Chess","239440740","1401180","104694","265","5096","23754","139","170.89","181791","12917944","7.78448165117972","553.1599366248448","Chess"
