"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/xqcow-profile_image-9298dca608632101-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","1","xQcOW","572639745","5730","166377","99937","5522156","-2576985","7356085","true","false","English","xQcOW"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8de4d844-586d-4be9-8570-04a0678fa99e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","RanbooLive","236614410","2865","149913","82587","2448959","125620","3045665","true","false","English","RanbooLive"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c495b77e-7f47-4bc5-a216-3045d7545796-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","Gaules","235006260","10065","139944","23348","2656500","7778","3607539","true","true","Portuguese","Gaules"
"https://static-cdn.jtvnw.net/jtv_user_pictures/371a4ddd-c4ef-418c-9f42-cfecda78187d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","4","loud_coringa","181608390","2790","121895","65092","1681866","57286","1118616","true","false","Portuguese","loud_coringa"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d4c6f373-44b7-4e3a-a3d5-90cabbf1859d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","BLASTPremier","178571895","3405","134091","52444","948580","94180","5611173","true","false","English","BLASTPremier"
"https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","summit1g","167065860","4095","88265","40797","5886358","11240","2607794","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bde8aaf5-35d4-4503-9797-842401da900f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","ludwig","160337520","3585","150360","44724","2673488","75444","3862949","true","false","English","ludwig"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c1ec120e-f191-4869-8311-7296ab7c4b66-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","RocketLeague","153100380","2400","116292","63791","3006488","42300","2337562","true","false","English","RocketLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ec898e4a-e0df-4dc0-a99d-7540c6dbe1e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","auronplay","146081295","1170","216805","124855","8192827","82808","2815563","true","false","Spanish","auronplay"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6ea01746-5596-47eb-891b-55c4511b524a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","Rainbow6","140292660","3585","77427","39133","1869263","25309","2225554","true","true","English","Rainbow6"
