"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/saltybet-profile_image-cef729d6b1b807ce-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","701","SaltyBet","5837340","10080","928","579","262920","-2526","69224","true","false","English","SaltyBet"
"https://static-cdn.jtvnw.net/jtv_user_pictures/32ae3908-f671-4b72-87c3-45ab033b7deb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","702","bnans","5835645","2400","28844","2431","523719","-943","984994","true","false","English","bnans"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dff78b49-9cc2-4a34-8d04-08789c1f6f1a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","703","Ziggy","5829765","1875","11064","3109","188758","1214","100971","true","true","English","Ziggy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/81c6a1ab-1651-43d5-87a6-de8fe404c5d2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","704","keiozin","5824485","1500","5797","3882","316046","242","166459","true","false","Portuguese","keiozin"
"https://static-cdn.jtvnw.net/jtv_user_pictures/71f325c4-82e6-4e0d-ad42-7c318a1b1494-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","705","SkyshockTV","5811255","2475","4579","2347","144004","423","261803","true","false","Spanish","SkyshockTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f9f36e92-9d9a-423a-b0c9-7a9f09206806-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","706","크캣66 (crazzyccat)","5801385","4050","2309","1432","62602","564","98668","true","false","Korean","크캣66 (crazzyccat)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b78c4849-d75e-43fa-8584-689f7ee3de88-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","707","EFEUYGAC","5801295","570","15508","10177","447885","23144","296924","false","true","Turkish","EFEUYGAC"
"https://static-cdn.jtvnw.net/jtv_user_pictures/334b5838-2e47-42c1-a0e7-6253c75331f5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","708","EASPORTSFIFA","5794515","1245","6240","4654","1877149","1373","98476","true","false","English","EASPORTSFIFA"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6e8b4c61-af26-4062-8bc3-727bee8042a4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","709","MartinJensenTV","5790390","285","33742","20317","52634","5244","347808","true","false","English","MartinJensenTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/01f7c510-ee7a-4782-8468-d6548bac9c1a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","710","DiazBiffle","5777640","1110","10055","5205","185542","4194","85521","true","false","English","DiazBiffle"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c41395c8-7eb3-48e1-8169-36fac4391e0c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","711","WillerZ","5762550","2415","3980","2386","159960","1942","88811","true","true","English","WillerZ"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e0e33c68-f53d-4308-a780-62b1bfd09d17-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","712","RatoBorrachudo","5746245","2415","8762","2379","542638","747","461402","true","false","Portuguese","RatoBorrachudo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/99010fb7-2fef-4e02-8abe-b552d8d89c0f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","713","JERICHO","5745195","2430","25472","2364","1203520","-3805","466774","true","false","English","JERICHO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27b90dee-a5c1-4f04-aaba-52ca8f68f224-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","714","robcdee","5743260","3615","2441","1588","134953","518","138362","true","false","English","robcdee"
"https://static-cdn.jtvnw.net/jtv_user_pictures/90fc4896-f5df-406e-9f5b-8aa06f0f9b36-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","715","恭一郎 (dmf_kyochan)","5715180","3900","2593","1465","110581","1637","99348","true","false","Japanese","恭一郎 (dmf_kyochan)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/acfc7931-5529-4969-b26f-13d1188f83a6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","716","Herdyn","5711700","2130","6451","2681","634096","-682","201987","true","true","Czech","Herdyn"
